mode,task,trial,turn,completion_tokens,prompt_tokens,total_tokens,reasoning_tokens,latency_s
Qwen3-4B-nothink,HumanEval_12,0,1,141,554,695,0,1.753148
Qwen3-4B-nothink,HumanEval_12,1,1,141,554,695,0,1.757464
Qwen3-4B-nothink,HumanEval_12,2,1,144,554,698,0,1.795492
Qwen3-4B-nothink,HumanEval_120,0,1,309,675,984,0,3.531147
Qwen3-4B-nothink,HumanEval_120,1,1,309,675,984,0,3.524109
Qwen3-4B-nothink,HumanEval_120,2,1,307,675,982,0,3.57346
Qwen3-4B-nothink,HumanEval_120,2,2,348,1002,1350,0,3.692154
Qwen3-4B-nothink,HumanEval_120,2,3,354,1370,1724,0,3.782068
Qwen3-4B-nothink,HumanEval_121,0,1,102,555,657,0,1.380322
Qwen3-4B-nothink,HumanEval_121,0,2,281,677,958,0,2.95377
Qwen3-4B-nothink,HumanEval_121,0,3,433,1013,1446,0,4.586683
Qwen3-4B-nothink,HumanEval_121,0,4,449,1466,1915,0,4.800342
Qwen3-4B-nothink,HumanEval_121,1,1,120,555,675,0,1.537116
Qwen3-4B-nothink,HumanEval_121,2,1,120,555,675,0,1.591589
Qwen3-4B-nothink,HumanEval_122,0,1,159,589,748,0,1.953415
Qwen3-4B-nothink,HumanEval_122,1,1,159,589,748,0,1.938119
Qwen3-4B-nothink,HumanEval_122,2,1,159,589,748,0,2.031416
Qwen3-4B-nothink,HumanEval_123,0,1,342,684,1026,0,3.873643
Qwen3-4B-nothink,HumanEval_123,1,1,355,684,1039,0,4.00508
Qwen3-4B-nothink,HumanEval_123,2,1,352,684,1036,0,4.018429
Qwen3-4B-nothink,HumanEval_124,0,1,625,741,1366,0,6.857454
Qwen3-4B-nothink,HumanEval_124,1,1,299,741,1040,0,3.41154
Qwen3-4B-nothink,HumanEval_124,2,1,262,741,1003,0,3.056577
Qwen3-4B-nothink,HumanEval_125,0,1,250,593,843,0,2.900606
Qwen3-4B-nothink,HumanEval_125,0,2,346,863,1209,0,3.661062
Qwen3-4B-nothink,HumanEval_125,0,3,349,1377,1726,0,3.737683
Qwen3-4B-nothink,HumanEval_125,0,4,369,1762,2131,0,3.971764
Qwen3-4B-nothink,HumanEval_125,0,5,380,2168,2548,0,4.117886
Qwen3-4B-nothink,HumanEval_125,0,6,307,2584,2891,0,3.365699
Qwen3-4B-nothink,HumanEval_125,1,1,250,593,843,0,2.90829
Qwen3-4B-nothink,HumanEval_125,1,2,401,863,1264,0,4.225712
Qwen3-4B-nothink,HumanEval_125,1,3,296,1284,1580,0,3.170946
Qwen3-4B-nothink,HumanEval_125,1,4,284,1600,1884,0,3.050632
Qwen3-4B-nothink,HumanEval_125,1,5,285,1904,2189,0,3.079818
Qwen3-4B-nothink,HumanEval_125,1,6,284,2209,2493,0,3.088986
Qwen3-4B-nothink,HumanEval_125,2,1,247,593,840,0,2.911407
Qwen3-4B-nothink,HumanEval_125,2,2,413,860,1273,0,4.351774
Qwen3-4B-nothink,HumanEval_125,2,3,350,1293,1643,0,3.746765
Qwen3-4B-nothink,HumanEval_125,2,4,350,1663,2013,0,3.76288
Qwen3-4B-nothink,HumanEval_125,2,5,388,2033,2421,0,4.202187
Qwen3-4B-nothink,HumanEval_125,2,6,388,2441,2829,0,4.225734
Qwen3-4B-nothink,HumanEval_126,0,1,405,701,1106,0,4.521634
Qwen3-4B-nothink,HumanEval_126,1,1,427,701,1128,0,4.778196
Qwen3-4B-nothink,HumanEval_126,2,1,321,701,1022,0,3.693773
Qwen3-4B-nothink,HumanEval_126,2,2,493,1042,1535,0,5.226084
Qwen3-4B-nothink,HumanEval_127,0,1,408,706,1114,0,4.556993
Qwen3-4B-nothink,HumanEval_127,0,2,437,1134,1571,0,4.648011
Qwen3-4B-nothink,HumanEval_127,0,3,437,1591,2028,0,4.687579
Qwen3-4B-nothink,HumanEval_127,0,4,437,2048,2485,0,4.722782
Qwen3-4B-nothink,HumanEval_127,0,5,462,2505,2967,0,5.035327
Qwen3-4B-nothink,HumanEval_127,0,6,462,2987,3449,0,5.067842
Qwen3-4B-nothink,HumanEval_127,1,1,251,706,957,0,2.910974
Qwen3-4B-nothink,HumanEval_127,1,2,527,977,1504,0,5.574184
Qwen3-4B-nothink,HumanEval_127,1,3,800,1615,2415,0,8.570088
Qwen3-4B-nothink,HumanEval_127,1,4,947,2526,3473,0,10.328774
Qwen3-4B-nothink,HumanEval_127,1,5,296,3554,3850,0,3.339936
Qwen3-4B-nothink,HumanEval_127,1,6,576,3870,4446,0,6.387714
Qwen3-4B-nothink,HumanEval_127,2,1,249,706,955,0,2.976102
Qwen3-4B-nothink,HumanEval_127,2,2,513,975,1488,0,5.422934
Qwen3-4B-nothink,HumanEval_127,2,3,280,1660,1940,0,3.033552
Qwen3-4B-nothink,HumanEval_127,2,4,279,1960,2239,0,3.02236
Qwen3-4B-nothink,HumanEval_127,2,5,345,2259,2604,0,3.746475
Qwen3-4B-nothink,HumanEval_127,2,6,243,2630,2873,0,2.666706
Qwen3-4B-nothink,HumanEval_128,0,1,208,574,782,0,2.463708
Qwen3-4B-nothink,HumanEval_128,1,1,208,574,782,0,2.453164
Qwen3-4B-nothink,HumanEval_128,2,1,208,574,782,0,2.518418
Qwen3-4B-nothink,HumanEval_129,0,1,1036,848,1884,0,11.266856
Qwen3-4B-nothink,HumanEval_129,0,2,813,2359,3172,0,8.881429
Qwen3-4B-nothink,HumanEval_129,1,1,950,848,1798,0,10.306237
Qwen3-4B-nothink,HumanEval_129,2,1,798,848,1646,0,8.712454
Qwen3-4B-nothink,HumanEval_13,0,1,153,524,677,0,1.871786
Qwen3-4B-nothink,HumanEval_13,1,1,120,524,644,0,1.519563
Qwen3-4B-nothink,HumanEval_13,2,1,120,524,644,0,1.551174
Qwen3-4B-nothink,HumanEval_130,0,1,319,687,1006,0,3.633863
Qwen3-4B-nothink,HumanEval_130,0,2,436,1026,1462,0,4.61698
Qwen3-4B-nothink,HumanEval_130,0,3,421,1482,1903,0,4.504494
Qwen3-4B-nothink,HumanEval_130,0,4,422,1923,2345,0,4.553849
Qwen3-4B-nothink,HumanEval_130,0,5,422,2365,2787,0,4.586839
Qwen3-4B-nothink,HumanEval_130,0,6,422,2807,3229,0,4.617234
Qwen3-4B-nothink,HumanEval_130,1,1,499,687,1186,0,5.499721
Qwen3-4B-nothink,HumanEval_130,1,2,492,1206,1698,0,5.244364
Qwen3-4B-nothink,HumanEval_130,1,3,464,1718,2182,0,4.988568
Qwen3-4B-nothink,HumanEval_130,1,4,464,2202,2666,0,5.027818
Qwen3-4B-nothink,HumanEval_130,1,5,464,2686,3150,0,5.06651
Qwen3-4B-nothink,HumanEval_130,1,6,464,3170,3634,0,5.101932
Qwen3-4B-nothink,HumanEval_130,2,1,344,687,1031,0,3.946029
Qwen3-4B-nothink,HumanEval_130,2,2,631,1461,2092,0,6.738918
Qwen3-4B-nothink,HumanEval_130,2,3,695,2112,2807,0,7.509403
Qwen3-4B-nothink,HumanEval_130,2,4,696,2827,3523,0,7.621116
Qwen3-4B-nothink,HumanEval_130,2,5,610,3543,4153,0,6.7559
Qwen3-4B-nothink,HumanEval_130,2,6,634,4173,4807,0,7.10021
Qwen3-4B-nothink,HumanEval_131,0,1,130,526,656,0,1.659298
Qwen3-4B-nothink,HumanEval_131,1,1,130,526,656,0,1.662211
Qwen3-4B-nothink,HumanEval_131,2,1,130,526,656,0,1.686528
Qwen3-4B-nothink,HumanEval_132,0,1,210,585,795,0,2.475928
Qwen3-4B-nothink,HumanEval_132,0,2,328,815,1143,0,3.461591
Qwen3-4B-nothink,HumanEval_132,0,3,311,1163,1474,0,3.312297
Qwen3-4B-nothink,HumanEval_132,0,4,311,1494,1805,0,3.336901
Qwen3-4B-nothink,HumanEval_132,0,5,298,1825,2123,0,3.217376
Qwen3-4B-nothink,HumanEval_132,0,6,312,2143,2455,0,3.37934
Qwen3-4B-nothink,HumanEval_132,1,1,237,585,822,0,2.776838
Qwen3-4B-nothink,HumanEval_132,1,2,369,842,1211,0,3.89193
Qwen3-4B-nothink,HumanEval_132,1,3,343,1231,1574,0,3.663235
Qwen3-4B-nothink,HumanEval_132,1,4,343,1594,1937,0,3.675978
Qwen3-4B-nothink,HumanEval_132,1,5,343,1957,2300,0,3.702208
Qwen3-4B-nothink,HumanEval_132,1,6,343,2320,2663,0,3.729393
Qwen3-4B-nothink,HumanEval_132,2,1,250,585,835,0,2.947686
Qwen3-4B-nothink,HumanEval_132,2,2,329,855,1184,0,3.474949
Qwen3-4B-nothink,HumanEval_132,2,3,325,1204,1529,0,3.470823
Qwen3-4B-nothink,HumanEval_132,2,4,325,1549,1874,0,3.487282
Qwen3-4B-nothink,HumanEval_132,2,5,325,1894,2219,0,3.510971
Qwen3-4B-nothink,HumanEval_132,2,6,325,2239,2564,0,3.533111
Qwen3-4B-nothink,HumanEval_133,0,1,174,613,787,0,2.116213
Qwen3-4B-nothink,HumanEval_133,0,2,240,807,1047,0,2.536012
Qwen3-4B-nothink,HumanEval_133,1,1,174,613,787,0,2.1136
Qwen3-4B-nothink,HumanEval_133,1,2,240,807,1047,0,2.529311
Qwen3-4B-nothink,HumanEval_133,2,1,174,613,787,0,2.161008
Qwen3-4B-nothink,HumanEval_133,2,2,448,807,1255,0,4.723195
Qwen3-4B-nothink,HumanEval_134,0,1,246,589,835,0,2.943712
Qwen3-4B-nothink,HumanEval_134,1,1,252,589,841,0,2.951105
Qwen3-4B-nothink,HumanEval_134,2,1,239,589,828,0,2.828308
Qwen3-4B-nothink,HumanEval_135,0,1,134,555,689,0,1.690203
Qwen3-4B-nothink,HumanEval_135,0,2,243,709,952,0,2.559183
Qwen3-4B-nothink,HumanEval_135,1,1,134,555,689,0,1.704622
Qwen3-4B-nothink,HumanEval_135,1,2,186,709,895,0,1.960905
Qwen3-4B-nothink,HumanEval_135,1,3,199,915,1114,0,2.111856
Qwen3-4B-nothink,HumanEval_135,2,1,134,555,689,0,1.732489
Qwen3-4B-nothink,HumanEval_135,2,2,151,709,860,0,1.594337
Qwen3-4B-nothink,HumanEval_135,2,3,285,1017,1302,0,3.030827
Qwen3-4B-nothink,HumanEval_135,2,4,144,1348,1492,0,1.557008
Qwen3-4B-nothink,HumanEval_135,2,5,274,1535,1809,0,2.938648
Qwen3-4B-nothink,HumanEval_135,2,6,98,1855,1953,0,1.089506
Qwen3-4B-nothink,HumanEval_136,0,1,201,590,791,0,2.388416
Qwen3-4B-nothink,HumanEval_136,1,1,206,590,796,0,2.434646
Qwen3-4B-nothink,HumanEval_136,2,1,201,590,791,0,2.464875
Qwen3-4B-nothink,HumanEval_137,0,1,158,593,751,0,1.939851
Qwen3-4B-nothink,HumanEval_137,0,2,244,1185,1429,0,2.613491
Qwen3-4B-nothink,HumanEval_137,1,1,172,593,765,0,2.077113
Qwen3-4B-nothink,HumanEval_137,1,2,326,1184,1510,0,3.489663
Qwen3-4B-nothink,HumanEval_137,2,1,202,593,795,0,2.484684
Qwen3-4B-nothink,HumanEval_138,0,1,179,529,708,0,2.146754
Qwen3-4B-nothink,HumanEval_138,1,1,197,529,726,0,2.337995
Qwen3-4B-nothink,HumanEval_138,1,2,460,746,1206,0,4.837129
Qwen3-4B-nothink,HumanEval_138,2,1,206,529,735,0,2.491166
Qwen3-4B-nothink,HumanEval_139,0,1,155,549,704,0,1.913255
Qwen3-4B-nothink,HumanEval_139,0,2,154,1133,1287,0,1.669179
Qwen3-4B-nothink,HumanEval_139,1,1,176,549,725,0,2.111122
Qwen3-4B-nothink,HumanEval_139,1,2,175,1150,1325,0,1.898108
Qwen3-4B-nothink,HumanEval_139,2,1,176,549,725,0,2.19436
Qwen3-4B-nothink,HumanEval_139,2,2,178,1154,1332,0,1.915405
Qwen3-4B-nothink,HumanEval_14,0,1,79,511,590,0,1.11139
Qwen3-4B-nothink,HumanEval_14,1,1,79,511,590,0,1.118731
Qwen3-4B-nothink,HumanEval_14,2,1,79,511,590,0,1.114468
Qwen3-4B-nothink,HumanEval_140,0,1,153,558,711,0,1.872527
Qwen3-4B-nothink,HumanEval_140,0,2,205,1153,1358,0,2.209779
Qwen3-4B-nothink,HumanEval_140,1,1,153,558,711,0,1.898209
Qwen3-4B-nothink,HumanEval_140,1,2,205,1153,1358,0,2.19912
Qwen3-4B-nothink,HumanEval_140,2,1,290,558,848,0,3.356448
Qwen3-4B-nothink,HumanEval_140,2,2,331,868,1199,0,3.500967
Qwen3-4B-nothink,HumanEval_141,0,1,398,666,1064,0,4.449634
Qwen3-4B-nothink,HumanEval_141,1,1,387,666,1053,0,4.340545
Qwen3-4B-nothink,HumanEval_141,2,1,387,666,1053,0,4.399836
Qwen3-4B-nothink,HumanEval_142,0,1,227,623,850,0,2.72313
Qwen3-4B-nothink,HumanEval_142,0,2,374,870,1244,0,3.948935
Qwen3-4B-nothink,HumanEval_142,0,3,348,1264,1612,0,3.717997
Qwen3-4B-nothink,HumanEval_142,0,4,323,1632,1955,0,3.468169
Qwen3-4B-nothink,HumanEval_142,0,5,352,1975,2327,0,3.801629
Qwen3-4B-nothink,HumanEval_142,0,6,323,2347,2670,0,3.512401
Qwen3-4B-nothink,HumanEval_142,1,1,227,623,850,0,2.65436
Qwen3-4B-nothink,HumanEval_142,1,2,331,870,1201,0,3.491038
Qwen3-4B-nothink,HumanEval_142,1,3,260,1221,1481,0,2.780938
Qwen3-4B-nothink,HumanEval_142,1,4,260,1501,1761,0,2.787132
Qwen3-4B-nothink,HumanEval_142,1,5,260,1781,2041,0,2.802864
Qwen3-4B-nothink,HumanEval_142,1,6,260,2061,2321,0,2.821963
Qwen3-4B-nothink,HumanEval_142,2,1,227,623,850,0,2.746567
Qwen3-4B-nothink,HumanEval_142,2,2,273,870,1143,0,2.885225
Qwen3-4B-nothink,HumanEval_142,2,3,427,1163,1590,0,4.535171
Qwen3-4B-nothink,HumanEval_142,2,4,328,1610,1938,0,3.530791
Qwen3-4B-nothink,HumanEval_142,2,5,485,1958,2443,0,5.234083
Qwen3-4B-nothink,HumanEval_142,2,6,480,2463,2943,0,5.227949
Qwen3-4B-nothink,HumanEval_143,0,1,275,601,876,0,3.171908
Qwen3-4B-nothink,HumanEval_143,1,1,317,601,918,0,3.588933
Qwen3-4B-nothink,HumanEval_143,2,1,275,601,876,0,3.192938
Qwen3-4B-nothink,HumanEval_144,0,1,196,609,805,0,2.329914
Qwen3-4B-nothink,HumanEval_144,1,1,196,609,805,0,2.345581
Qwen3-4B-nothink,HumanEval_144,2,1,196,609,805,0,2.381221
Qwen3-4B-nothink,HumanEval_145,0,1,197,573,770,0,2.341992
Qwen3-4B-nothink,HumanEval_145,0,2,300,790,1090,0,3.167611
Qwen3-4B-nothink,HumanEval_145,0,3,246,1218,1464,0,2.63454
Qwen3-4B-nothink,HumanEval_145,0,4,260,1971,2231,0,2.837342
Qwen3-4B-nothink,HumanEval_145,0,5,260,2726,2986,0,2.873719
Qwen3-4B-nothink,HumanEval_145,0,6,244,3006,3250,0,2.689201
Qwen3-4B-nothink,HumanEval_145,1,1,197,573,770,0,2.343825
Qwen3-4B-nothink,HumanEval_145,1,2,300,790,1090,0,3.160236
Qwen3-4B-nothink,HumanEval_145,1,3,296,1110,1406,0,3.153175
Qwen3-4B-nothink,HumanEval_145,1,4,279,1426,1705,0,2.993712
Qwen3-4B-nothink,HumanEval_145,1,5,267,1725,1992,0,2.879497
Qwen3-4B-nothink,HumanEval_145,1,6,280,2012,2292,0,3.032788
Qwen3-4B-nothink,HumanEval_145,2,1,197,573,770,0,2.40921
Qwen3-4B-nothink,HumanEval_145,2,2,280,790,1070,0,2.954185
Qwen3-4B-nothink,HumanEval_145,2,3,259,1090,1349,0,2.759913
Qwen3-4B-nothink,HumanEval_145,2,4,239,1855,2094,0,2.613642
Qwen3-4B-nothink,HumanEval_145,2,5,265,2609,2874,0,2.925522
Qwen3-4B-nothink,HumanEval_145,2,6,265,3389,3654,0,2.966645
Qwen3-4B-nothink,HumanEval_146,0,1,246,581,827,0,2.841219
Qwen3-4B-nothink,HumanEval_146,1,1,251,581,832,0,2.914699
Qwen3-4B-nothink,HumanEval_146,1,2,298,1288,1586,0,3.201707
Qwen3-4B-nothink,HumanEval_146,2,1,251,581,832,0,3.002664
Qwen3-4B-nothink,HumanEval_146,2,2,306,1292,1598,0,3.272519
Qwen3-4B-nothink,HumanEval_147,0,1,628,620,1248,0,6.845523
Qwen3-4B-nothink,HumanEval_147,1,1,633,620,1253,0,6.914936
Qwen3-4B-nothink,HumanEval_147,2,1,668,620,1288,0,7.301305
Qwen3-4B-nothink,HumanEval_148,0,1,329,663,992,0,3.725626
Qwen3-4B-nothink,HumanEval_148,1,1,335,663,998,0,3.786478
Qwen3-4B-nothink,HumanEval_148,2,1,369,663,1032,0,4.151385
Qwen3-4B-nothink,HumanEval_149,0,1,246,639,885,0,2.893304
Qwen3-4B-nothink,HumanEval_149,1,1,246,639,885,0,2.864522
Qwen3-4B-nothink,HumanEval_149,2,1,246,639,885,0,2.858117
Qwen3-4B-nothink,HumanEval_15,0,1,84,520,604,0,1.138362
Qwen3-4B-nothink,HumanEval_15,1,1,84,520,604,0,1.13757
Qwen3-4B-nothink,HumanEval_15,2,1,84,520,604,0,1.178416
Qwen3-4B-nothink,HumanEval_150,0,1,204,542,746,0,2.418856
Qwen3-4B-nothink,HumanEval_150,1,1,204,542,746,0,2.421857
Qwen3-4B-nothink,HumanEval_150,2,1,204,542,746,0,2.40351
Qwen3-4B-nothink,HumanEval_151,0,1,183,591,774,0,2.262661
Qwen3-4B-nothink,HumanEval_151,1,1,207,591,798,0,2.458818
Qwen3-4B-nothink,HumanEval_151,2,1,207,591,798,0,2.446413
Qwen3-4B-nothink,HumanEval_152,0,1,247,682,929,0,2.893566
Qwen3-4B-nothink,HumanEval_152,1,1,247,682,929,0,2.880378
Qwen3-4B-nothink,HumanEval_152,2,1,247,682,929,0,2.86583
Qwen3-4B-nothink,HumanEval_153,0,1,375,729,1104,0,4.231368
Qwen3-4B-nothink,HumanEval_153,0,2,412,1124,1536,0,4.381202
Qwen3-4B-nothink,HumanEval_153,0,3,417,1556,1973,0,4.475096
